Field Name	Field Description
This application is accompanied by the information and documents prescribed by the applicable by- law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992 which enable the chief building official to determine whether the proposed building, construction or demolition will contravene any applicable law. NO	{'FieldType': 'Button', 'FieldName': 'This application is accompanied by the information and documents prescribed by the applicable by- law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992 which enable the chief building official to determine whether the proposed building, construction or demolition will contravene any applicable law. NO', 'FieldNameAlt': 'This application is accompanied by the information and documents prescribed by the applicable by- law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992 which enable the chief building official to determine whether the proposed building, construction or demolition will contravene any applicable law. NO', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
The proposed building, construction or demolition will not contravene any applicable law. YES	{'FieldType': 'Button', 'FieldName': 'The proposed building, construction or demolition will not contravene any applicable law. YES', 'FieldNameAlt': 'The proposed building, construction or demolition will not contravene any applicable law. YES', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
The proposed building, construction or demolition will not contravene any applicable law. NO	{'FieldType': 'Button', 'FieldName': 'The proposed building, construction or demolition will not contravene any applicable law. NO', 'FieldNameAlt': 'The proposed building, construction or demolition will not contravene any applicable law. NO', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
Design Activities: House	{'FieldType': 'Button', 'FieldName': 'Design Activities: House', 'FieldNameAlt': 'Design Activities: House', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Small Buildings	{'FieldType': 'Button', 'FieldName': 'Design Activities: Small Buildings', 'FieldNameAlt': 'Design Activities: Small Buildings', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Large Buildings	{'FieldType': 'Button', 'FieldName': 'Design Activities: Large Buildings', 'FieldNameAlt': 'Design Activities: Large Buildings', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Complex Buildings	{'FieldType': 'Button', 'FieldName': 'Design Activities: Complex Buildings', 'FieldNameAlt': 'Design Activities: Complex Buildings', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: HVAC - House	{'FieldType': 'Button', 'FieldName': 'Design Activities: HVAC - House', 'FieldNameAlt': 'Design Activities: HVAC - House', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Building Services	{'FieldType': 'Button', 'FieldName': 'Design Activities: Building Services', 'FieldNameAlt': 'Design Activities: Building Services', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Detection, Lighting and Power	{'FieldType': 'Button', 'FieldName': 'Design Activities: Detection, Lighting and Power', 'FieldNameAlt': 'Design Activities: Detection, Lighting and Power', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Fire Protection	{'FieldType': 'Button', 'FieldName': 'Design Activities: Fire Protection', 'FieldNameAlt': 'Design Activities: Fire Protection', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Building Structural	{'FieldType': 'Button', 'FieldName': 'Design Activities: Building Structural', 'FieldNameAlt': 'Design Activities: Building Structural', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Plumbing - House	{'FieldType': 'Button', 'FieldName': 'Design Activities: Plumbing - House', 'FieldNameAlt': 'Design Activities: Plumbing - House', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: Plumbing - All Buildings	{'FieldType': 'Button', 'FieldName': 'Design Activities: Plumbing - All Buildings', 'FieldNameAlt': 'Design Activities: Plumbing - All Buildings', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Design Activities: On-site Sewage Systems	{'FieldType': 'Button', 'FieldName': 'Design Activities: On-site Sewage Systems', 'FieldNameAlt': 'Design Activities: On-site Sewage Systems', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? NO (Continue to Section E)	{'FieldType': 'Button', 'FieldName': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? NO (Continue to Section E)', 'FieldNameAlt': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? NO (Continue to Section E)', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['No', 'Off']}
Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? YES (Continue to Section C)	{'FieldType': 'Button', 'FieldName': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? YES (Continue to Section C)', 'FieldNameAlt': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? YES (Continue to Section C)', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? Installer unknown at time of application (Continue to Section E)	{'FieldType': 'Button', 'FieldName': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? Installer unknown at time of application (Continue to Section E)', 'FieldNameAlt': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C? Installer unknown at time of application (Continue to Section E)', 'FieldFlags': '0', 'FieldJustification': 'Left', 'FieldStateOption': ['Off', 'Yes']}
Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3	{'FieldType': '', 'FieldName': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3.3', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3	{'FieldType': '', 'FieldName': 'Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or emptying sewage systems, in accordance with Building Code Article 3', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Section E: Sewage System Installer Applicant Name	{'FieldType': 'Text', 'FieldName': 'Section E: Sewage System Installer Applicant Name', 'FieldNameAlt': 'Section E: Sewage System Installer Applicant Name', 'FieldFlags': '0', 'FieldJustification': 'Center'}
Name of Applicant for Declaration	{'FieldType': 'Text', 'FieldName': 'Name of Applicant for Declaration', 'FieldNameAlt': 'Name of Applicant for Declaration', 'FieldFlags': '0', 'FieldJustification': 'Left'}
